,time,x,y,z,roll,pitch,yaw
216,163645095.40084198,-26006.52772,-92976.69214,-5.9835400000000005,0,-0.0031,2.10786
217,163645095.50184098,-26007.38084,-92975.25997999999,-5.97867,0,-0.0027300000000000002,2.10823
218,163645095.600841,-26008.23465,-92973.82822000001,-5.97435,0,-0.00257,2.1087599999999997
219,163645095.701841,-26009.08919,-92972.39691,-5.96971,0,-0.00302,2.10921
220,163645095.801841,-26009.94411,-92970.96582,-5.9642,0,-0.00351,2.10931
221,163645095.900841,-26010.79887,-92969.53467000001,-5.95809,0,-0.00375,2.1090400000000002
222,163645096.000841,-26011.65308,-92968.10315,-5.95178,0,-0.0037700000000000003,2.1086
223,163645096.100841,-26012.50674,-92966.67133,-5.94583,0,-0.0032700000000000003,2.10833
224,163645096.201841,-26013.36037,-92965.23944,-5.94137,0,-0.0021899999999999997,2.1085
225,163645096.301841,-26014.21454,-92963.80792,-5.9379599999999995,0,-0.0022,2.1090299999999997
226,163645096.39984098,-26015.06947,-92962.37683,-5.93331,0,-0.0032600000000000003,2.10948
227,163645096.50184098,-26015.92471,-92960.94595,-5.92773,0,-0.00318,2.1095200000000003
228,163645096.60084,-26016.77994,-92959.51505,-5.92321,0,-0.00238,2.10954
229,163645096.70084,-26017.63551,-92958.08435,-5.91948,0,-0.0022199999999999998,2.11002
230,163645096.80183998,-26018.49211,-92956.6543,-5.91554,0,-0.00253,2.1108599999999997
231,163645096.90184,-26019.34993,-92955.22492000001,-5.91078,0,-0.00315,2.1116599999999996
232,163645097.00184,-26020.208619999998,-92953.79611,-5.9050199999999995,0,-0.00361,2.1120900000000002
233,163645097.10184,-26021.06767,-92952.36749,-5.89917,0,-0.0033200000000000005,2.1122799999999997
234,163645097.20084,-26021.92723,-92950.93921,-5.89428,0,-0.00257,2.11286
235,163645097.29984,-26022.7881,-92949.51169,-5.89085,0,-0.00165,2.11401
236,163645097.40083998,-26023.65063,-92948.08518,-5.88839,0,-0.00158,2.1150700000000002
237,163645097.50184,-26024.51428,-92946.65933,-5.88456,0,-0.00301,2.1156200000000003
238,163645097.60183898,-26025.37846,-92945.23383,-5.87838,0,-0.004070000000000001,2.11591
239,163645097.701839,-26026.24303,-92943.80856,-5.871630000000001,0,-0.0039,2.11616
240,163645097.801839,-26027.10786,-92942.38345,-5.86568,0,-0.00329,2.11627
241,163645097.900839,-26027.97259,-92940.95827999999,-5.86074,0,-0.0027300000000000002,2.1160200000000002
242,163645098.00183898,-26028.83667,-92939.53267999999,-5.8565,0,-0.00242,2.11538
243,163645098.10183898,-26029.69952,-92938.10638,-5.85281,0,-0.00202,2.11438
244,163645098.201839,-26030.56074,-92936.67908,-5.84975,0,-0.0017800000000000001,2.11313
245,163645098.301839,-26031.42015,-92935.2507,-5.84633,0,-0.00238,2.1118900000000003
246,163645098.400839,-26032.27794,-92933.82132,-5.84154,0,-0.00324,2.11084
247,163645098.50183898,-26033.134280000002,-92932.39108,-5.8358,0,-0.00349,2.10982
248,163645098.60183898,-26033.98904,-92930.9599,-5.83021,0,-0.00321,2.10867
249,163645098.700838,-26034.84216,-92929.52773999999,-5.82503,0,-0.00309,2.10754
250,163645098.80183798,-26035.69376,-92928.0947,-5.81977,0,-0.00322,2.10652
251,163645098.90183797,-26036.5439,-92926.66077,-5.8144,0,-0.0031899999999999997,2.1055099999999998
252,163645099.002838,-26037.39265,-92925.22601,-5.80922,0,-0.00307,2.1046
253,163645099.10083798,-26038.2403,-92923.79062,-5.803719999999999,0,-0.0036200000000000004,2.10396
254,163645099.201838,-26039.08726,-92922.3548,-5.7968,0,-0.00449,2.1036200000000003
255,163645099.30183798,-26039.93388,-92920.91879,-5.789630000000001,0,-0.0038299999999999996,2.10339
256,163645099.40183797,-26040.78001,-92919.48247999999,-5.785019999999999,0,-0.00187,2.10296
257,163645099.50083798,-26041.62547,-92918.04581,-5.78289,0,-0.00115,2.1025
258,163645099.60083798,-26042.470409999998,-92916.6088,-5.77974,0,-0.00278,2.10223
259,163645099.70283702,-26043.31496,-92915.17157,-5.772930000000001,0,-0.00502,2.10188
260,163645099.801837,-26044.15875,-92913.73389,-5.76369,0,-0.0057,2.10122
261,163645099.902837,-26045.00142,-92912.29556,-5.75443,0,-0.0054600000000000004,2.10039
262,163645100.002837,-26045.84286,-92910.85654,-5.74517,0,-0.0057,2.0995
263,163645100.101837,-26046.68289,-92909.41666,-5.7356,0,-0.00564,2.09841
264,163645100.201837,-26047.521119999998,-92907.97571,-5.72686,0,-0.00489,2.09702
